Fourth Avenue*[^ 3],,B (IND),Culver Line,"F 
   G","October 7, 1933[10]"
Seventh Avenue,,B (BMT),Brighton Line,"B 
   Q","August 1, 1920[9]"
Seventh Avenue,,B (IND),Culver Line,"F 
   G","October 7, 1933[10]"
Eighth Avenue,,B (BMT),Sea Beach Line,N,"June 22, 1915[9]"
Ninth Avenue,,B (BMT),West End Line,D,"June 24, 1916[9]"
Ninth Street*[^ 3],,B (BMT),Fourth Avenue Line,"D 
   N 
   R","June 22, 1915[9]"
15th Street–Prospect Park,,B (IND),Culver Line,"F 
   G","October 7, 1933[10]"
18th Avenue,,B (IND),Culver Line,F,"March 16, 1919[10]"
18th Avenue,,B (BMT),Sea Beach Line,N,"June 22, 1915[9]"
18th Avenue,,B (BMT),West End Line,D,"June 24, 1916[9]"
20th Avenue,,B (BMT),Sea Beach Line,N,"June 22, 1915[9]"
20th Avenue,,B (BMT),West End Line,D,"June 29, 1916[9]"
25th Avenue,,B (BMT),West End Line,D,"June 29, 1916[9]"
25th Street,,B (BMT),Fourth Avenue Line,"D 
   N 
   R","June 22, 1915[9]"
36th Street**,,B (BMT),Fourth Avenue Line,"D 
   N 
   R","June 22, 1915[9]"
45th Street,,B (BMT),Fourth Avenue Line,"N 
   R","June 22, 1915[9]"
50th Street,,B (BMT),West End Line,D,"June 24, 1916[9]"
53rd Street,,B (BMT),Fourth Avenue Line,"N 
   R","June 22, 1915[9]"
55th Street,,B (BMT),West End Line,D,"June 24, 1916[9]"
59th Street**,,B (BMT),Fourth Avenue Line,"N 
   R","June 22, 1915[9]"
62nd Street*[^ 4],,B (BMT),West End Line,D,"June 24, 1916[9]"
71st Street,,B (BMT),West End Line,D,"June 24, 1916[9]"
77th Street,,B (BMT),Fourth Avenue Line,R,"January 15, 1916[9]"
79th Street,,B (BMT),West End Line,D,"June 24, 1916[9]"
86th Street,,B (BMT),Fourth Avenue Line,R,"January 15, 1916[9]"
86th Street,,B (BMT),Sea Beach Line,N,"June 22, 1915[9]"
Alabama Avenue,,B (BMT),Jamaica Line,"J 
   Z","December 21, 1916[9]"
Atlantic Avenue,,B (BMT),Canarsie Line,L,"December 28, 1906[11]"
Atlantic Avenue–Barclays Center*[^ 5],,B (BMT),Brighton Line,"B 
   Q","August 1, 1920[9]"
Atlantic Avenue–Barclays Center**[^ 5][^ 6],,A (IRT),Eastern Parkway Line,"2 
   3 
   4 
   5","May 1, 1908[8]"
Atlantic Avenue–Barclays Center**‡[^ 5],,B (BMT),Fourth Avenue Line,"D 
   N 
   R","June 22, 1915[9]"
Avenue H,,B (BMT),Brighton Line,Q,1907[9]
Avenue I,,B (IND),Culver Line,F,"March 16, 1919[10]"
Avenue J,,B (BMT),Brighton Line,Q,1907[9]
Avenue M,,B (BMT),Brighton Line,Q,1907[9]
Avenue N,,B (IND),Culver Line,F,"March 16, 1919[10]"
Avenue P,,B (IND),Culver Line,F,"March 16, 1919[10]"
Avenue U,,B (BMT),Brighton Line,Q,1907[9]
Avenue U,,B (IND),Culver Line,F,"May 10, 1919[10]"
Avenue U,,B (BMT),Sea Beach Line,N,"June 22, 1915[9]"
Avenue X,,B (IND),Culver Line,F,"May 10, 1919[10]"
Bay 50th Street,,B (BMT),West End Line,D,"July 21, 1917[9]"
Bay Parkway,,B (IND),Culver Line,F,"March 16, 1919[10]"
Bay Parkway,,B (BMT),Sea Beach Line,N,"June 22, 1915[9]"
Bay Parkway,,B (BMT),West End Line,D,"June 29, 1916[9]"
Bay Ridge Avenue,,B (BMT),Fourth Avenue Line,R,"January 15, 1916[9]"
Bay Ridge–95th Street†,,B (BMT),Fourth Avenue Line,R,"October 31, 1925[9]"
Bedford Avenue‡,,B (BMT),Canarsie Line,L,"June 30, 1924[9]"
Bedford–Nostrand Avenues,,B (IND),Crosstown Line,G,"July 1, 1937[10]"
Bergen Street,,B (IND),Culver Line,"F 
   G","March 20, 1933[10]"
Bergen Street,,A (IRT),Eastern Parkway Line,"2 
   3 
   4","October 10, 1920[12]"
Beverley Road,,B (BMT),Brighton Line,Q,1907[9]
Beverly Road,,A (IRT),Nostrand Avenue Line,"2 
   5","August 23, 1920[8]"
Borough Hall*[^ 7],,A (IRT),Broadway–Seventh Avenue Line,"2 
   3","April 15, 1919[8]"
Borough Hall*‡[^ 7],(N),A (IRT),Eastern Parkway Line,"4 
   5","January 9, 1908[8]"
Botanic Garden*[^ 8],,B (BMT),Franklin Avenue Line,S,1928
Brighton Beach**†,,B (BMT),Brighton Line,"B 
   Q","April 22, 1917[9]"
Broadway,,B (IND),Crosstown Line,G,"July 1, 1937[10]"
Broadway Junction*[^ 9],,B (BMT),Canarsie Line,L,"July 14, 1928[9]"
Broadway Junction**[^ 9],,B (IND),Fulton Street Line,"A 
   C","December 30, 1946[10]"
Broadway Junction**[^ 9],,B (BMT),Jamaica Line,"J 
   Z","December 21, 1916[9]"
Bushwick Avenue–Aberdeen Street,,B (BMT),Canarsie Line,L,"July 14, 1928[9]"
Canarsie–Rockaway Parkway†,,B (BMT),Canarsie Line,L,"December 28, 1906"
Carroll Street,,B (IND),Culver Line,"F 
   G","October 7, 1933[10]"
Central Avenue,,B (BMT),Myrtle Avenue Line,M,"July 29, 1914[9]"
Chauncey Street,,B (BMT),Jamaica Line,"J 
   Z","December 21, 1916[9]"
Church Avenue**,,B (BMT),Brighton Line,"B 
   Q","September 26, 1919[9]"
Church Avenue**†,,B (IND),Culver Line,"F 
   G","October 7, 1933[10]"
Church Avenue,,A (IRT),Nostrand Avenue Line,"2 
   5","August 23, 1920[8]"
Clark Street‡,,A (IRT),Broadway–Seventh Avenue Line,"2 
   3","April 15, 1919[8]"
Classon Avenue,,B (IND),Crosstown Line,G,"July 1, 1937[10]"
Cleveland Street,,B (BMT),Jamaica Line,J,"May 30, 1893"
Clinton–Washington Avenues,,B (IND),Crosstown Line,G,"July 1, 1937[10]"
Clinton–Washington Avenues,,B (IND),Fulton Street Line,"A 
   C","April 9, 1936[10]"
Coney Island–Stillwell Avenue***†,,"B (BMT,
IND)","Brighton Line, Culver Line, Sea Beach Line, West End Line","D 
   F 
   N 
   Q","June 22, 1915[9]"
Cortelyou Road,,B (BMT),Brighton Line,Q,1907[9]
Court Street*‡[^ 7],,B (BMT),Fourth Avenue Line,"N 
   R","August 1, 1920[9]"
Crescent Street**,,B (BMT),Jamaica Line,"J 
   Z","May 30, 1893"
Crown Heights–Utica Avenue**†,,A (IRT),Eastern Parkway Line,"2 
   3 
   4 
   5","August 23, 1920[8]"
Cypress Hills‡,,B (BMT),Jamaica Line,J,"May 28, 1917[9]"
DeKalb Avenue***‡,,B (BMT),"Fourth Avenue Line, Brighton Line","B 
   D 
   N 
   Q 
   R","June 22, 1915[9]"
DeKalb Avenue,,B (BMT),Canarsie Line,L,"July 14, 1928[9]"
Ditmas Avenue,,B (IND),Culver Line,F,"March 16, 1919[10]"
East 105th Street,,B (BMT),Canarsie Line,L,"December 28, 1906"
Eastern Parkway–Brooklyn Museum,,A (IRT),Eastern Parkway Line,"2 
   3 
   4","October 10, 1920[12]"
Euclid Avenue**†,,B (IND),Fulton Street Line,"A 
   C","November 28, 1948[10]"
Flatbush Avenue–Brooklyn College†,,A (IRT),Nostrand Avenue Line,"2 
   5","August 23, 1920[8]"
Flushing Avenue,,B (IND),Crosstown Line,G,"July 1, 1937[10]"
Flushing Avenue,,B (BMT),Jamaica Line,"J 
   M","January 17, 1916[9]"
Fort Hamilton Parkway,,B (IND),Culver Line,"F 
   G","October 7, 1933[10]"
Fort Hamilton Parkway,,B (BMT),Sea Beach Line,N,"June 22, 1915[9]"
Fort Hamilton Parkway,,B (BMT),West End Line,D,"June 24, 1916[9]"
Franklin Avenue*[^ 8],,A (IRT),Eastern Parkway Line,"2 
   3 
   4 
   5","August 23, 1920[8]"
Franklin Avenue*†[^ 10],,B (BMT),Franklin Avenue Line,S,"August 15, 1896"
Franklin Avenue*[^ 10],,B (IND),Fulton Street Line,"A 
   C","April 9, 1936[10]"
Fulton Street,,B (IND),Crosstown Line,G,"July 1, 1937[10]"
Gates Avenue,,B (BMT),Jamaica Line,"J 
   Z","December 21, 1916[9]"
Graham Avenue,,B (BMT),Canarsie Line,L,"June 30, 1924[9]"
Grand Army Plaza,,A (IRT),Eastern Parkway Line,"2 
   3 
   4","October 10, 1920[12]"
Grand Street,,B (BMT),Canarsie Line,L,"June 30, 1924[9]"
Grant Avenue‡,,B (IND),Fulton Street Line,A,"April 29, 1956[10]"
Greenpoint Avenue‡,,B (IND),Crosstown Line,G,"August 19, 1933[10]"
Halsey Street,,B (BMT),Canarsie Line,L,"July 14, 1928[9]"
Halsey Street,,B (BMT),Jamaica Line,J,"December 21, 1916[9]"
Hewes Street,,B (BMT),Jamaica Line,"J 
   M","January 17, 1916[9]"
High Street‡,,B (IND),Eighth Avenue Line,"A 
   C","February 1, 1933[10]"
Hoyt Street,,A (IRT),Eastern Parkway Line,"2 
   3","May 1, 1908[8]"
Hoyt–Schermerhorn Streets***,,B (IND),"Crosstown Line, Fulton Street Line","A 
   C 
   G","April 9, 1936[10]"
Jay Street–MetroTech***,,B (IND),"Culver Line, Fulton Street Line","A 
   C 
   F","February 1, 1933[10]"
Jay Street–MetroTech*,,B (BMT),Fourth Avenue Line,"N 
   R","August 1, 1920[9]"
Jefferson Street,,B (BMT),Canarsie Line,L,"July 14, 1928[9]"
Junius Street,,A (IRT),New Lots Line,"2 
   3 
   4 
   5","November 22, 1920[8]"
Kings Highway**,,B (BMT),Brighton Line,"B 
   Q",1907[9]
Kings Highway**†,,B (IND),Culver Line,F,"March 16, 1919[10]"
Kings Highway,,B (BMT),Sea Beach Line,N,"June 22, 1915[9]"
Kingston Avenue,,A (IRT),Eastern Parkway Line,"2 
   3 
   4","August 23, 1920[8]"
Kingston–Throop Avenues,,B (IND),Fulton Street Line,"A 
   C","April 9, 1936[10]"
Knickerbocker Avenue,,B (BMT),Myrtle Avenue Line,M,"July 1, 1918[9]"
Kosciuszko Street,,B (BMT),Jamaica Line,J,"December 21, 1916[9]"
Lafayette Avenue,,B (IND),Fulton Street Line,"A 
   C","April 9, 1936[10]"
Liberty Avenue,,B (IND),Fulton Street Line,"A 
   C","November 28, 1948[10]"
Livonia Avenue,,B (BMT),Canarsie Line,L,"December 28, 1906"
Lorimer Street*[^ 11],,B (BMT),Canarsie Line,L,"June 30, 1924[9]"
Lorimer Street,,B (BMT),Jamaica Line,"J 
   M","January 17, 1916[9]"
Marcy Avenue‡,,B (BMT),Jamaica Line,"J 
   M 
   Z","September 16, 1908[9]"
Metropolitan Avenue*[^ 11],,B (IND),Crosstown Line,G,"July 1, 1937[10]"
Montrose Avenue,,B (BMT),Canarsie Line,L,"June 10, 1924[9]"
Morgan Avenue,,B (BMT),Canarsie Line,L,"July 14, 1928[9]"
Myrtle Avenue**†,,B (BMT),Jamaica Line,"J 
   M 
   Z","January 17, 1916[9]"
Myrtle–Willoughby Avenues,,B (IND),Crosstown Line,G,"July 1, 1937[10]"
Myrtle–Wyckoff Avenues*[^ 12],,B (BMT),Canarsie Line,L,"July 14, 1928[9]"
Myrtle–Wyckoff Avenues*‡[^ 12],,B (BMT),Myrtle Avenue Line,M,"February 22, 1915[9]"
Nassau Avenue,,B (IND),Crosstown Line,G,"August 19, 1933[10]"
Neck Road,,B (BMT),Brighton Line,Q,1907[9]
Neptune Avenue,,B (IND),Culver Line,F,"May 1, 1920[10]"
Nevins Street**,,A (IRT),Eastern Parkway Line,"2 
   3 
   4 
   5","May 1, 1908[8]"
New Lots Avenue,,B (BMT),Canarsie Line,L,"December 28, 1906"
New Lots Avenue†,,A (IRT),New Lots Line,"2 
   3 
   4 
   5","October 16, 1922[8]"
New Utrecht Avenue*[^ 4],,B (BMT),Sea Beach Line,N,"June 22, 1915[9]"
Newkirk Avenue,,A (IRT),Nostrand Avenue Line,"2 
   5","August 23, 1920[8]"
Norwood Avenue,,B (BMT),Jamaica Line,"J 
   Z","June 30, 1893"
Newkirk Plaza**,,B (BMT),Brighton Line,"B 
   Q",1907[9]
Nostrand Avenue,,A (IRT),Eastern Parkway Line,"2 
   3 
   4","August 23, 1920[8]"
Nostrand Avenue**,,B (IND),Fulton Street Line,"A 
   C","April 9, 1936[10]"
Ocean Parkway,,B (BMT),Brighton Line,Q,"April 22, 1917[9]"
Park Place,,B (BMT),Franklin Avenue Line,S,"June 19, 1899"
Parkside Avenue,,B (BMT),Brighton Line,Q,"September 26, 1919[9]"
Pennsylvania Avenue,,A (IRT),New Lots Line,"2 
   3 
   4 
   5","December 24, 1920[8]"
President Street,,A (IRT),Nostrand Avenue Line,"2 
   5","August 23, 1920[8]"
Prospect Avenue,,B (BMT),Fourth Avenue Line,"D 
   N 
   R","June 22, 1915[9]"
Prospect Park***†,,B (BMT),"Brighton Line, Franklin Avenue Line","B 
   Q 
   S","September 26, 1919[9]"
Ralph Avenue,,B (IND),Fulton Street Line,"A 
   C","April 9, 1936[10]"
Rockaway Avenue,,B (IND),Fulton Street Line,"A 
   C","April 9, 1936[10]"
Rockaway Avenue,,A (IRT),New Lots Line,"2 
   3 
   4 
   5","November 22, 1920[8]"
Saratoga Avenue,,A (IRT),New Lots Line,"2 
   3 
   4 
   5","November 22, 1920[8]"
Sheepshead Bay**,,B (BMT),Brighton Line,"B 
   Q",1907[9]
Shepherd Avenue,,B (IND),Fulton Street Line,"A 
   C","November 28, 1948[10]"
Smith–Ninth Streets,,B (IND),Culver Line,"F 
   G","October 7, 1933[10]"
Sterling Street,,A (IRT),Nostrand Avenue Line,"2 
   5","August 23, 1920[8]"
Sutter Avenue,,B (BMT),Canarsie Line,L,"December 28, 1906"
Sutter Avenue–Rutland Road,,A (IRT),New Lots Line,"2 
   3 
   4 
   5","November 22, 1920[8]"
Union Street,,B (BMT),Fourth Avenue Line,"D 
   N 
   R","June 22, 1915[9]"
Utica Avenue**,,B (IND),Fulton Street Line,"A 
   C","April 9, 1936[10]"
Van Siclen Avenue,,B (IND),Fulton Street Line,"A 
   C","November 28, 1948[10]"
Van Siclen Avenue,,B (BMT),Jamaica Line,"J 
   Z","December 3, 1885"
Van Siclen Avenue,,A (IRT),New Lots Line,"2 
   3 
   4 
   5","October 16, 1922[8]"
West Eighth Street–New York Aquarium***,,"B (BMT,
IND)","Brighton Line, Culver Line","F 
   Q","May 30, 1917[9]"
Wilson Avenue,,B (BMT),Canarsie Line,L,"July 14, 1928[9]"
Winthrop Street,,A (IRT),Nostrand Avenue Line,"2 
   5","August 23, 1920[8]"
York Street‡,,B (IND),Sixth Avenue Line,F,"April 9, 1936[10]"